id,name,neighbourhood,latitude,longitude,room_type,price
9835,Beautiful Room & House,Manningham,-37.77268393,145.0921328,Private room,60
10803,Room in Cool Deco Apartment in Brunswick,Moreland,-37.76650512,144.9807361,Private room,35
12936,St Kilda 1BR APT+BEACHSIDE+VIEWS+PARKING+WIFI+AC,Port Phillip,-37.85975502,144.9773691,Entire home/apt,159
15246,Large private room-close to city,Darebin,-37.75897072,144.9892279,Private room,50
16760,Melbourne BnB near City & Sports,Port Phillip,-37.8645303,144.9922379,Private room,69
38271,Melbourne - Old Trafford Apartment,Casey,-38.05725414,145.3393561,Entire home/apt,98
41836,CLOSE TO CITY & MELBOURNE AIRPORT,Darebin,-37.69729418,145.0008156,Private room,50
43414,Home In The City,Melbourne,-37.81026723,144.98592,Private room,100
43429,Tranquil Javanese-Style Apartment in Oakleigh East,Monash,-37.899601,145.1144745,Entire home/apt,98
44082,Queen Room in Beautiful House,Frankston,-38.14932045,145.1415689,Private room,60
47100,Très Charming in Fabulous Richmond,Yarra,-37.81803739,145.0044164,Entire home/apt,98
50492,St Kilda Central LUXE 2BR APT+TWO COURTYARDS+WIFI,Port Phillip,-37.86127469,144.9803786,Entire home/apt,190
51592,Central City Warehouse Apartment,Melbourne,-37.81485579,144.9626716,Entire home/apt,228
58055,By the park,Bayside,-37.92959204,145.0256775,Private room,46
62606,A Room Near the Park,Bayside,-37.92817275,145.025176,Private room,50
65432,Garden Views,Bayside,-37.9297903,145.0254793,Private room,43
66754,Richmond Super Central 60s Cool 1BR APT+WIFI+AC,Yarra,-37.8209164,144.9938393,Entire home/apt,138
67211,"Kew Tranquility, Melbourne",Boroondara,-37.8036186,145.0338957,Private room,42
68036,Classic Fitzroy Terrace (w/ cat) - walk to Tennis,Yarra,-37.80311551,144.9766031,Entire home/apt,161
68411,Large Bayside suburban house,Bayside,-37.93205877,145.0146028,Entire home/apt,300
68482,Charming house inner Melbourne,Darebin,-37.75861028,144.9892774,Entire home/apt,140
69421,"Pet Friendly Warm Apmt , Clifton Hill, Melbourne",Yarra,-37.7878413,145.0054789,Entire home/apt,180
70004,King Single in Beautiful House,Frankston,-38.14930782,145.1418968,Private room,60
70328,AWESOME BEACH HOUSE BnB -,Kingston,-38.00546325,145.0854133,Private room,68
71156,Lovely Apartment with view and cat!,Darebin,-37.76249518,145.0085686,Entire home/apt,60
72576,"Stunning Fitzroy, own level + bathroom.  No Ikea!",Yarra,-37.80688626,144.9794551,Private room,120
74324,Tamerlane: Architect-designed luxury living,Yarra,-37.80275304,144.9761608,Entire home/apt,228
74548,City Location-Perfect for Singles,Melbourne,-37.8155017,144.9589368,Private room,64
74715,"Northcote, A Classic in Melbourne",Darebin,-37.77257908,145.0099414,Private room,48
74959,Blissful Beachside Port Melbourne Warehouse,Port Phillip,-37.84027741,144.9359466,Private room,96
76867,"City's edge Penthouse - private bath, views!",Port Phillip,-37.83228713,144.9684502,Private room,84
78143,2 bedrooms-ideal for friends/family,Stonnington,-37.85309803,144.9901175,Private room,98
80986,Richmond Central Parkside 1BR APT+PARKING+WIFI,Yarra,-37.81639403,145.0026174,Entire home/apt,119
86369,"1950s Apartment, St Kilda East",Glen Eira,-37.8697119,145.0066165,Entire home/apt,109
108032,Studio apartment on Collins Street,Melbourne,-37.81639168,144.9665197,Entire home/apt,140
111001,Double Guest Room Ensuited,Port Phillip,-37.8373889,144.9663735,Private room,80
120487,Garden Bungalow with the Possums,Kingston,-37.99106955,145.0764292,Entire home/apt,90
126723,Strawbale Home In Leafy Suburb,Maroondah,-37.82690664,145.2627977,Private room,50
133617,Life style on the Beach 豪华的海边生活,Port Phillip,-37.84317136,144.9403133,Private room,80
136510,Private Room,Melbourne,-37.77919273,144.9404137,Private room,46
144236,"Lux Apartment, Australian Open",Melbourne,-37.84499108,144.9792884,Private room,245
150729,"Fabulous Fitzroy, gorgeous Gertrude St.   No Ikea!",Yarra,-37.80508446,144.9794238,Private room,90
156482,Light-Filled Family-Friendly House in Yarraville,Maribyrnong,-37.81565273,144.8886978,Entire home/apt,205
157427,"Stone's Throw Studio, Belgrave",Yarra Ranges,-37.90604688,145.3506869,Entire home/apt,161
161033,Healesville Yarra Valley Cottage,Yarra Ranges,-37.6328188,145.4976618,Entire home/apt,80
161404,"Handy Location, 5Beds, 3bath, 10km to CBD, Austin",Banyule,-37.75650916,145.0399144,Entire home/apt,138
163077,Elwood Chic 1BR APT+WALK TO VILLAGE+PARKING+WIFI,Port Phillip,-37.8795903,144.9916545,Entire home/apt,138
167067,Convenient Spot in Mt Waverley,Monash,-37.87145933,145.1298441,Private room,46
171291,On the Beach. Melbourne Beach Front,Port Phillip,-37.85290675,144.9604902,Entire home/apt,199
173426,Beautiful Northcote home with heart -close to city,Darebin,-37.76315408,144.9857754,Private room,36
189128,"Luxury Heated Room, Private Bathroom & Breakfast",Boroondara,-37.81759565,145.0591287,Private room,60
189293,A POP-UP BEDROOM NEAR CITY AND AIRPORT,Darebin,-37.6987887,145.001928,Private room,30
189406,Position Perfect - Richmond,Yarra,-37.81757628,144.9983269,Entire home/apt,161
189434,PositionPerfect Carlton Paris Style,Melbourne,-37.79870029,144.9667125,Entire home/apt,161
210568,"Carnarvon, Armadale/St KldaE/Caulfl",Glen Eira,-37.8689833,145.0277492,Private room,58
213348,Large room in quiet Victorian home,Port Phillip,-37.85874202,144.9863331,Private room,71
