id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365
9835,Manningham,-37.77268393,145.0921328,Private room,60,1,365
10803,Moreland,-37.76650512,144.9807361,Private room,35,3,213
12936,Port Phillip,-37.85975502,144.9773691,Entire home/apt,159,3,326
15246,Darebin,-37.75897072,144.9892279,Private room,50,2,0
16760,Port Phillip,-37.8645303,144.9922379,Private room,69,1,328
38271,Casey,-38.05725414,145.3393561,Entire home/apt,98,1,328
41836,Darebin,-37.69729418,145.0008156,Private room,50,7,0
43414,Melbourne,-37.81026723,144.98592,Private room,100,1,11
43429,Monash,-37.899601,145.1144745,Entire home/apt,98,2,310
44082,Frankston,-38.14932045,145.1415689,Private room,60,3,310
47100,Yarra,-37.81803739,145.0044164,Entire home/apt,98,4,22
50492,Port Phillip,-37.86127469,144.9803786,Entire home/apt,190,3,316
51592,Melbourne,-37.81485579,144.9626716,Entire home/apt,228,2,331
58055,Bayside,-37.92959204,145.0256775,Private room,46,2,278
62606,Bayside,-37.92817275,145.025176,Private room,50,2,328
65432,Bayside,-37.9297903,145.0254793,Private room,43,2,337
66754,Yarra,-37.8209164,144.9938393,Entire home/apt,138,3,324
67211,Boroondara,-37.8036186,145.0338957,Private room,42,2,330
68036,Yarra,-37.80311551,144.9766031,Entire home/apt,161,5,128
68411,Bayside,-37.93205877,145.0146028,Entire home/apt,300,1,0
68482,Darebin,-37.75861028,144.9892774,Entire home/apt,140,5,0
69421,Yarra,-37.7878413,145.0054789,Entire home/apt,180,2,365
70004,Frankston,-38.14930782,145.1418968,Private room,60,2,343
70328,Kingston,-38.00546325,145.0854133,Private room,68,1,349
71156,Darebin,-37.76249518,145.0085686,Entire home/apt,60,3,0
72576,Yarra,-37.80688626,144.9794551,Private room,120,3,243
74324,Yarra,-37.80275304,144.9761608,Entire home/apt,228,30,271
74548,Melbourne,-37.8155017,144.9589368,Private room,64,2,283
74715,Darebin,-37.77257908,145.0099414,Private room,48,2,106
74959,Port Phillip,-37.84027741,144.9359466,Private room,96,2,351
76867,Port Phillip,-37.83228713,144.9684502,Private room,84,2,172
78143,Stonnington,-37.85309803,144.9901175,Private room,98,2,340
80986,Yarra,-37.81639403,145.0026174,Entire home/apt,119,3,303
86369,Glen Eira,-37.8697119,145.0066165,Entire home/apt,109,21,180
108032,Melbourne,-37.81639168,144.9665197,Entire home/apt,140,2,280
111001,Port Phillip,-37.8373889,144.9663735,Private room,80,2,351
120487,Kingston,-37.99106955,145.0764292,Entire home/apt,90,2,277
126723,Maroondah,-37.82690664,145.2627977,Private room,50,1,340
133617,Port Phillip,-37.84317136,144.9403133,Private room,80,6,179
136510,Melbourne,-37.77919273,144.9404137,Private room,46,1,0
144236,Melbourne,-37.84499108,144.9792884,Private room,245,2,365
150729,Yarra,-37.80508446,144.9794238,Private room,90,3,104
156482,Maribyrnong,-37.81565273,144.8886978,Entire home/apt,205,2,42
157427,Yarra Ranges,-37.90604688,145.3506869,Entire home/apt,161,1,340
161033,Yarra Ranges,-37.6328188,145.4976618,Entire home/apt,80,2,332
161404,Banyule,-37.75650916,145.0399144,Entire home/apt,138,3,65
163077,Port Phillip,-37.8795903,144.9916545,Entire home/apt,138,3,339
167067,Monash,-37.87145933,145.1298441,Private room,46,4,267
171291,Port Phillip,-37.85290675,144.9604902,Entire home/apt,199,3,21
173426,Darebin,-37.76315408,144.9857754,Private room,36,1,0
189128,Boroondara,-37.81759565,145.0591287,Private room,60,1,73
189293,Darebin,-37.6987887,145.001928,Private room,30,2,0
189406,Yarra,-37.81757628,144.9983269,Entire home/apt,161,3,60
189434,Melbourne,-37.79870029,144.9667125,Entire home/apt,161,3,54
210568,Glen Eira,-37.8689833,145.0277492,Private room,58,3,6
213348,Port Phillip,-37.85874202,144.9863331,Private room,71,3,365
214565,Banyule,-37.71369993,145.1238011,Private room,30,1,0
215787,Yarra,-37.81860841,144.9899552,Entire home/apt,93,30,254
227028,Melbourne,-37.81571435,144.9674823,Entire home/apt,220,2,225
227964,Moreland,-37.76957226,144.9704836,Private room,90,7,363
229430,Boroondara,-37.82994729,145.0510196,Private room,48,2,0
230790,Yarra Ranges,-37.9051353,145.3526067,Entire home/apt,140,1,342
232088,Moreland,-37.71003134,144.9515697,Entire home/apt,78,4,183
232812,Melbourne,-37.78569716,144.9561554,Entire home/apt,190,2,221
234407,Moreland,-37.70808721,144.9475521,Private room,61,1,365
240410,Melbourne,-37.80506804,144.9519044,Entire home/apt,155,2,301
241263,Melbourne,-37.78128053,144.9561807,Private room,90,1,352
244872,Stonnington,-37.85076513,145.0101315,Private room,73,1,365
244952,Yarra,-37.80403059,144.9790829,Entire home/apt,125,1,340
246337,Melbourne,-37.81104059,144.9895625,Private room,84,1,365
247006,Port Phillip,-37.84505683,144.9570998,Private room,91,2,334
247140,Melbourne,-37.81700475,144.9767048,Entire home/apt,226,3,336
248235,Glen Eira,-37.86392244,145.0173674,Entire home/apt,419,4,90
252381,Port Phillip,-37.88603312,144.9882295,Entire home/apt,129,3,323
256186,Yarra,-37.80176033,144.9847305,Entire home/apt,120,7,288
257149,Darebin,-37.76294155,144.9963986,Entire home/apt,129,2,240
257915,Melbourne,-37.8252529,144.961453,Entire home/apt,700,2,345
261558,Melbourne,-37.8041725,144.953269,Private room,125,2,89
262020,Melbourne,-37.83275171,144.9860623,Entire home/apt,161,3,61
263871,Melbourne,-37.81694872,144.962951,Entire home/apt,125,7,334
267678,Stonnington,-37.85301738,144.9962814,Entire home/apt,145,3,10
268525,Whitehorse,-37.8129011,145.1408067,Private room,40,18,178
268620,Melton,-37.7399385,144.7388076,Private room,72,1,365
268849,Stonnington,-37.83691697,144.9928537,Entire home/apt,115,1,65
277605,Yarra Ranges,-37.90560044,145.395248,Entire home/apt,199,2,338
280698,Port Phillip,-37.87383759,144.9886066,Entire home/apt,199,3,326
283257,Yarra,-37.80440177,144.9821314,Entire home/apt,140,3,185
284210,Yarra,-37.79849702,144.9788285,Entire home/apt,145,4,16
286460,Glen Eira,-37.89929845,145.0185505,Private room,55,14,365
289467,Yarra Ranges,-37.90545664,145.3944736,Entire home/apt,251,2,337
297350,Brimbank,-37.78483777,144.7562492,Private room,46,1,333
300679,Kingston,-37.94000426,145.0967893,Private room,28,2,286
304910,Bayside,-37.90389401,144.9998177,Private room,84,2,274
307615,Melbourne,-37.80846796,144.9660613,Private room,75,1,199
307630,Melbourne,-37.80815473,144.9662051,Private room,75,1,0
309093,Yarra,-37.81972785,145.0007826,Entire home/apt,295,2,117
310594,Yarra,-37.80523392,144.9951794,Entire home/apt,125,2,138
313648,Melbourne,-37.81244723,144.9857561,Entire home/apt,109,4,294
315513,Brimbank,-37.78309553,144.757738,Private room,46,1,358
317239,Hobsons Bay,-37.82988576,144.8712253,Private room,158,3,365
317351,Port Phillip,-37.86559028,145.004714,Entire home/apt,125,7,349
323280,Stonnington,-37.86171034,145.0210338,Private room,60,1,365
331605,Melbourne,-37.82348249,144.9617954,Entire home/apt,357,1,337
334891,Boroondara,-37.81285063,145.0637822,Private room,65,1,365
344458,Port Phillip,-37.87161036,144.9844774,Entire home/apt,174,3,284
353243,Frankston,-38.14896283,145.2091525,Private room,100,1,365
357740,Casey,-38.22442664,145.3089327,Shared room,60,1,349
361613,Melbourne,-37.81280637,144.988213,Private room,109,1,363
363060,Wyndham,-37.8454538,144.7163799,Private room,71,3,365
363278,Yarra,-37.80255658,144.9828065,Private room,71,1,319
365832,Port Phillip,-37.86711196,144.9938345,Entire home/apt,329,1,364
366848,Melbourne,-37.81132535,144.9727608,Entire home/apt,129,6,34
376421,Banyule,-37.75303675,145.0701391,Private room,174,1,365
381690,Port Phillip,-37.86393062,144.9982395,Entire home/apt,114,1,205
386252,Boroondara,-37.80883314,145.039695,Shared room,100,30,365
394600,Moreland,-37.76910366,144.9530439,Entire home/apt,120,2,306
397285,Glen Eira,-37.88128683,145.0225141,Entire home/apt,174,3,314
402105,Glen Eira,-37.88162082,144.9983155,Entire home/apt,221,3,321
403580,Melbourne,-37.7997332,144.9718817,Private room,86,3,335
403876,Stonnington,-37.84167429,145.0350475,Entire home/apt,136,3,122
406997,Stonnington,-37.88374182,145.0609025,Private room,50,3,199
411059,Melbourne,-37.8164468,144.9605546,Entire home/apt,132,2,282
414093,Port Phillip,-37.87052183,144.9796402,Entire home/apt,246,3,276
415776,Stonnington,-37.83789697,144.9969566,Private room,82,1,187
419490,Moonee Valley,-37.78484819,144.9275085,Entire home/apt,150,7,0
432113,Melbourne,-37.82690136,144.9680543,Entire home/apt,150,6,268
433779,Stonnington,-37.88343821,145.0611459,Private room,46,3,0
437892,Monash,-37.90645593,145.1215561,Private room,48,21,365
438849,Boroondara,-37.82406444,145.0565611,Entire home/apt,199,10,0
438899,Port Phillip,-37.83358757,144.9648034,Entire home/apt,300,2,353
448006,Port Phillip,-37.87147967,144.9845395,Entire home/apt,174,3,212
448017,Port Phillip,-37.87127524,144.9842296,Entire home/apt,174,3,271
448041,Port Phillip,-37.87133341,144.982704,Entire home/apt,174,3,271
449585,Boroondara,-37.80491458,145.0532543,Private room,100,1,340
453940,Boroondara,-37.79559276,145.0789248,Private room,40,1,0
456950,Port Phillip,-37.85397321,144.9819777,Entire home/apt,291,5,365
458168,Port Phillip,-37.87273774,144.9830598,Entire home/apt,174,3,299
458182,Glen Eira,-37.88196825,145.0240133,Entire home/apt,174,3,333
464528,Port Phillip,-37.84413534,144.939126,Entire home/apt,325,5,143
464612,Wyndham,-37.9004213,144.7249643,Private room,54,4,364
466494,Yarra,-37.81723961,145.0089916,Entire home/apt,505,5,24
466732,Port Phillip,-37.88789546,144.9860136,Entire home/apt,285,5,179
467028,Melbourne,-37.80125335,144.9574716,Private room,96,2,310
467125,Maribyrnong,-37.78143577,144.87804,Entire home/apt,115,4,285
475855,Darebin,-37.73242417,144.9880939,Private room,53,1,364
479281,Bayside,-37.90883251,144.9907719,Entire home/apt,335,5,326
479333,Yarra,-37.78642812,145.0018018,Entire home/apt,335,5,162
479472,Bayside,-37.95231098,145.0117261,Entire home/apt,305,5,159
479736,Port Phillip,-37.86946798,144.9964316,Entire home/apt,120,2,1
483719,Banyule,-37.7420862,145.0654082,Private room,60,1,171
488819,Yarra,-37.80306275,144.9767032,Entire home/apt,150,4,0
491993,Glen Eira,-37.89715719,145.0305023,Entire home/apt,174,3,250
492012,Port Phillip,-37.84102771,144.9379134,Entire home/apt,195,3,4
492071,Bayside,-37.94889213,145.0040469,Entire home/apt,375,5,168
496502,Moreland,-37.75570943,144.9717271,Private room,30,2,101
501143,Port Phillip,-37.86569151,144.9788001,Private room,120,2,364
506491,Whitehorse,-37.84329767,145.13555,Private room,78,2,281
508586,Boroondara,-37.79362617,145.0847092,Private room,46,1,365
508590,Boroondara,-37.79399689,145.0835046,Private room,40,1,365
508594,Boroondara,-37.79545774,145.0834517,Private room,40,1,364
509326,Whittlesea,-37.68273388,145.0283711,Private room,114,1,365
513766,Casey,-38.06865321,145.3342678,Private room,71,1,365
515607,Wyndham,-37.88857619,144.6369885,Private room,30,2,356
519819,Melbourne,-37.81456086,144.9740027,Entire home/apt,168,2,247
524247,Port Phillip,-37.87652049,144.9839825,Entire home/apt,221,3,269
524570,Yarra Ranges,-37.65516884,145.3755089,Private room,80,1,58
529300,Port Phillip,-37.86309655,144.9839189,Entire home/apt,93,1,305
529321,Port Phillip,-37.8595681,144.9891792,Entire home/apt,62,1,282
529339,Port Phillip,-37.84699504,144.9621358,Private room,180,3,360
531324,Darebin,-37.72954144,145.0291454,Private room,71,1,179
532347,Glen Eira,-37.89248049,145.075464,Private room,72,2,363
535813,Melbourne,-37.81408274,144.9693336,Private room,1650,1,365
542188,Port Phillip,-37.87211941,144.9831294,Entire home/apt,138,1,75
546849,Stonnington,-37.88351259,145.0610267,Private room,40,3,128
552797,Yarra,-37.80453202,144.9779256,Entire home/apt,109,2,120
554087,Port Phillip,-37.85742092,144.9747802,Private room,125,2,179
556080,Yarra,-37.80515791,144.9823125,Entire home/apt,245,2,281
557900,Melbourne,-37.8175183,144.9652275,Entire home/apt,190,3,244
564734,Port Phillip,-37.88231634,144.9847267,Entire home/apt,174,3,0
565813,Port Phillip,-37.8640949,145.0023522,Private room,54,4,363
567486,Boroondara,-37.83439629,145.0348788,Private room,75,6,363
567514,Boroondara,-37.85957632,145.0810409,Private room,40,1,75
567941,Yarra,-37.80200724,144.987569,Private room,84,1,342
571502,Melbourne,-37.80685644,144.9667112,Private room,80,3,67
591772,Melbourne,-37.81128309,144.9619753,Private room,65,3,145
592162,Melbourne,-37.81688978,144.9537154,Entire home/apt,161,4,30
607674,Yarra Ranges,-37.88387831,145.3618443,Entire home/apt,168,2,365
609602,Stonnington,-37.88332809,145.0624082,Private room,50,7,7
614259,Stonnington,-37.83939535,144.9960706,Entire home/apt,80,3,41
619328,Yarra,-37.80604851,144.9807892,Private room,120,2,250
619363,Yarra,-37.80444603,144.9805607,Private room,84,2,189
621155,Yarra,-37.82148066,144.9942865,Entire home/apt,105,14,0
624205,Melbourne,-37.82329968,144.9630325,Entire home/apt,230,3,176
628156,Port Phillip,-37.84181138,144.9375934,Private room,65,3,150
628370,Port Phillip,-37.84188452,144.9425284,Entire home/apt,174,20,250
633258,Stonnington,-37.85513121,144.9945128,Entire home/apt,73,3,0
633546,Hobsons Bay,-37.82873718,144.8786093,Private room,80,2,323
639260,Yarra,-37.80173343,144.975365,Entire home/apt,161,2,284
641180,Moreland,-37.77593462,144.9692759,Entire home/apt,89,3,185
642782,Stonnington,-37.85221953,144.9933086,Entire home/apt,96,3,294
644223,Port Phillip,-37.87044205,144.9889098,Entire home/apt,120,2,0
648169,Yarra,-37.79703497,144.9831112,Private room,90,3,250
651578,Melbourne,-37.83360018,144.9839886,Private room,86,2,34
653384,Boroondara,-37.80314805,145.0529729,Private room,100,1,340
653386,Boroondara,-37.80319194,145.0520839,Private room,100,1,340
656235,Monash,-37.89516013,145.0812383,Entire home/apt,125,5,32
657209,Port Phillip,-37.86094212,144.9929855,Entire home/apt,93,3,272
661004,Yarra,-37.79688588,144.9813153,Entire home/apt,180,3,11
662482,Port Phillip,-37.835745,144.9647666,Entire home/apt,700,2,349
662489,Port Phillip,-37.83610783,144.9645018,Private room,100,1,357
668738,Port Phillip,-37.85946175,144.9790531,Entire home/apt,120,7,234
670329,Yarra,-37.80318406,144.9853075,Entire home/apt,170,4,21
671981,Maribyrnong,-37.81554755,144.8871685,Shared room,100,1,365
674843,Melbourne,-37.80908363,144.9819515,Private room,80,5,32
690762,Greater Dandenong,-37.97413366,145.2195461,Private room,80,1,0
691140,Glen Eira,-37.89239206,145.0749477,Private room,68,2,364
691144,Glen Eira,-37.89275956,145.0758644,Private room,68,2,334
692656,Glen Eira,-37.89133104,145.0768863,Private room,62,2,335
693216,Darebin,-37.7818475,144.9981061,Private room,73,3,353
694376,Port Phillip,-37.85972937,144.9831624,Entire home/apt,174,3,9
712261,Port Phillip,-37.86827319,144.9964677,Entire home/apt,96,4,107
712598,Maribyrnong,-37.81624757,144.8943808,Entire home/apt,289,2,13
724777,Nillumbik,-37.60993047,145.2102089,Private room,69,2,88
728162,Yarra,-37.8033889,144.994541,Entire home/apt,400,7,0
731330,Port Phillip,-37.86025479,144.9712221,Entire home/apt,119,2,64
739896,Moreland,-37.77155778,144.974612,Entire home/apt,300,2,0
752666,Melbourne,-37.80991844,144.9582665,Entire home/apt,84,2,0
754134,Melbourne,-37.81597542,144.967139,Entire home/apt,150,4,176
758097,Bayside,-37.96016924,145.0212196,Entire home/apt,100,3,1
762496,Yarra,-37.80647479,144.9878644,Private room,96,2,61
762695,Yarra,-37.8146698,145.0015705,Entire home/apt,138,3,303
768096,Melbourne,-37.8339788,144.9837232,Entire home/apt,199,10,75
771720,Glen Eira,-37.88648639,145.0619923,Private room,50,7,293
780196,Hobsons Bay,-37.8713455,144.8125762,Private room,46,2,308
780441,Melbourne,-37.80536506,144.969482,Entire home/apt,83,21,173
